Teacher ID,Subject,Grade-Section,Periods Per Week,Fixed Periods
SAR,MTH,Grade-I-A,6,
SAR,MTH,Grade-I-B,6,
SAR,MTH,Grade-II-A,6,
SAR,MTH,Grade-II-B,6,1
SAR,MTH,Grade-III-B,6,
AKH,MTH,Grade-III-A,6,
AKH,MTH,Grade-IV-A,6,
AKH,MTH,Grade-IV-B,6,1
AKH,MTH,Grade-V-A,6,
AKH,MTH,Grade-V-B,6,
ROJ,MTH,Grade-VI-A,5,1
ROJ,MTH,Grade-VI-B,5,
ROJ,MTH,Grade-VII-A,5,
ROJ,MTH,Grade-VIII-A,5,
ROJ,MTH,Grade-IX-A,5,
ROJ,MTH,Grade-X-A,5,
SRU,MTHI,Grade-VI-A,2,
SRU,MTHI,Grade-VI-B,2,
SRU,MTHI,Grade-VIII-A,2,
SHRA,MTHI,Grade-VII-A,2,
SAI,EVS,Grade-I-A,5,
SAI,EVS,Grade-I-B,5,
SAI,EVS,Grade-II-A,5,1
SAI,EVS,Grade-II-B,5,
SAI,SCI,Grade-III-A,5,
SAI,SCI,Grade-III-B,5,
DEE,SCI,Grade-IV-A,5,
DEE,SCI,Grade-IV-B,5,
DEE,SCI,Grade-V-A,5,
DEE,SCI,Grade-V-B,5,1
SRP,SCI,Grade-VI-A,5,
SRP,SCI,Grade-VI-B,5,
SRP,SCI,Grade-VII-A,5,
SRP,SCI,Grade-VIII-A,5,
SRP,BIO,Grade-IX-A,3,
SRP,BIO,Grade-X-A,3,
SRP,SCII,Grade-VI-A,2,
SRP,SCII,Grade-VI-B,2,
SRP,SCII,Grade-VII-A,2,1
SRP,SCII,Grade-VIII-A,2,
SRI,SOC,Grade-III-A,5,
SRI,SOC,Grade-III-B,5,1
SRI,SOC,Grade-IV-A,5,
SRI,SOC,Grade-IV-B,5,
SRI,SOC,Grade-V-A,5,
SRI,SOC,Grade-V-B,5,
MAN,SOC,Grade-VI-A,5,
MAN,SOC,Grade-VI-B,5,
MAN,SOC,Grade-VII-A,5,
MAN,SOC,Grade-VIII-A,5,1
MAN,SOC,Grade-IX-A,5,
MAN,SOC,Grade-X-A,5,
SUS,HIN,Grade-I-A,6,
SUS,HIN,Grade-I-B,6,
SUS,HIN,Grade-II-A,6,
SUS,HIN,Grade-II-B,6,
MOU,TEL,Grade-I-A,6,
MOU,TEL,Grade-I-B,6,
MOU,TEL,Grade-II-A,6,
MOU,TEL,Grade-II-B,6,
UMA,HIT,Grade-IV-A,5,
UMA,HIT,Grade-IV-B,5,
APA,ENG,Grade-I-A,6,1
APA,ENG,Grade-I-B,6,
APA,ENG,Grade-II-A,6,
APA,ENG,Grade-II-B,6,
APA,ENG,Grade-III-B,6,
DIV,ENG,Grade-III-A,6,
DIV,ENG,Grade-IV-A,6,1
DIV,ENG,Grade-IV-B,6,
DIV,ENG,Grade-V-A,6,
DIV,ENG,Grade-V-B,6,
SAM,ENG,Grade-VI-A,5,
SAM,ENG,Grade-VI-B,5,1
SAM,ENG,Grade-VII-A,5,
SAM,ENG,Grade-VIII-A,5,
SAM,ENG,Grade-IX-A,5,
SAM,ENG,Grade-X-A,5,
SHA,HIN2,Grade-V-A,2,
SHA,HIN2,Grade-V-B,2,
SHA,HIN2,Grade-VI-A,2,
SHA,HIN2,Grade-VI-B,2,
SHA,HIN2,Grade-VII-A,2,
SHA,HIN2,Grade-VIII-A,2,
SHA,HIN2,Grade-X-A,2,
SUK,TEL2,Grade-V-A,2,
SUK,TEL2,Grade-V-B,2,
SUK,TEL2,Grade-VI-A,2,
SUK,TEL2,Grade-VI-B,2,
SUK,TEL2,Grade-VII-A,2,
SUK,TEL2,Grade-VIII-A,2,
SUK,TEL2,Grade-X-A,2,
SHA,HIN3,Grade-V-A,2,
SHA,HIN3,Grade-V-B,2,
SHA,HIN3,Grade-VI-A,2,
SHA,HIN3,Grade-VI-B,2,
SHA,HIN3,Grade-VII-A,2,
SHA,HIN3,Grade-VIII-A,2,
SHA,HIN3,Grade-X-A,2,
SUK,TEL3,Grade-V-A,2,
SUK,TEL3,Grade-V-B,2,
SUK,TEL3,Grade-VI-A,2,
SUK,TEL3,Grade-VI-B,2,
SUK,TEL3,Grade-VII-A,2,
SUK,TEL3,Grade-VIII-A,2,
SUK,TEL3,Grade-X-A,2,
SHA,HIT,Grade-IX-A,5,
SUK,HIT,Grade-IX-A,5,1
UMA,HIT2,Grade-III-A,1,1
UMA,HIT2,Grade-III-B,1,
UMA,HIT3,Grade-IV-A;Grade-IV-B,2,
UMA,HIT,Grade-IV-A,2,
UMA,HIT,Grade-IV-B,2,
UMA,HIT,Grade-V-A,2,
UMA,HIT,Grade-V-B,2,
UMA,HIT,Grade-VI-A,2,
UMA,HIT,Grade-VI-B,2,
UMA,HIT,Grade-VII-A,2,
UMA,HIT,Grade-VIII-A,2,
SHA,HIN,Grade-IX-A,5,
SRU,PHCH,Grade-IX-A,5,
SRU,PHCH,Grade-X-A,5,1
PRA,CSC,Grade-IV-A;Grade-IV-B,4,0-1;5-6
SMR,CSC,Grade-V-A;Grade-V-B,4,0-1;5-6
SMR,CSC,Grade-VI-A;Grade-VI-B,4,0-1;5-6
SMR,CSC,Grade-VII-A,4,0-1;5-6
SMR,CSC,Grade-VIII-A,2,0-1;5-6
SMR,CSC,Grade-IX-A,2,0-1;5-6
SMR,CSC,Grade-X-A,2,0-1;5-6
SUR,PT,Grade-I-A,2,
SUR,PT,Grade-I-B,2,
SUR,PT,Grade-II-A,2,
SUR,PT,Grade-II-B,2,
SUR,PT,Grade-III-B,2,
SUR,PT,Grade-III-A,2,
SUR,PT,Grade-IV-A,2,
SUR,PT,Grade-IV-B,2,
SUR,PT,Grade-V-A,2,
SUR,PT,Grade-V-B,2,
SUR,PT,Grade-VI-A,2,
SUR,PT,Grade-VI-B,2,
SUR,PT,Grade-VII-A,2,
SUR,PT,Grade-VIII-A;Grade-IX-A;Grade-X-A,2,
PRA,CSC,Grade-I-A,4,
PRA,CSC,Grade-I-B,4,1
PRA,CSC,Grade-II-A,4,
PRA,CSC,Grade-II-B,4,
PRA,CSC,Grade-III-A,4,
PRA,CSC,Grade-III-B,4,
